product_id,position_msk,position_spb,position_nvsb,position_hab,position_ekb,position_kaz,position_kras,delivery_efficiency_wh_avg_pos,discount,product_rating,seller_rating,price,quantity,proceeds,orders
212185533,84.0,104.0,,87.0,112.0,75.0,79.0,0,22.47,0,0,1861.07,239,388759,206
214564467,,,,186.0,,,,0,38.13,0,0,1383.57,1134,1189937,862
216330641,,,131.0,,,,,0,65.1,0,0,1177.1,809,986513,869
216903323,,,168.0,,,,,0,56.83,0,0,1274.03,526,369865,289
216914713,,,,,178.0,,,0,58.23,0,0,1227.2,477,213730,175
216917139,,,144.0,,,,,0,56.5,0,0,1278.9,453,666152,515
219112779,,,124.0,,,,,0,74.7,0,0,1017.03,59,1090,1
219275376,,,,,,181.0,,0,61.5,0,0,1364.77,408,926462,676
219371183,136.0,166.0,,134.0,157.0,114.0,130.0,0,68.4,0,0,1097.1,5641,1495523,1386
221503639,60.0,45.0,113.0,61.0,75.0,51.0,54.0,0,53.73,0,0,889.43,3166,1702224,2041
221519608,,,150.0,,,,,0,54.13,0,0,800.9,2175,4095046,5183
221519619,196.0,134.0,,190.0,101.0,160.0,182.0,0,54.3,0,0,1157.8,3387,12602587,11037
222832500,127.0,173.0,,129.0,,,122.0,0,19.4,0,0,1804.5,64,707672,392
223951952,131.0,90.0,,130.0,65.0,123.0,123.0,0,19.23,0,0,1395.67,1442,1533523,1105
223951967,45.0,51.0,106.0,43.0,71.0,38.0,43.0,0,17.07,0,0,1326.57,1259,3009884,2273
224396068,,179.0,,,127.0,,,0,41.0,0,0,1324.17,1664,399139,308
226527745,,,82.0,,115.0,,,0,55.23,0,0,1683.47,1935,13205332,7989
228245350,,,198.0,,,,,0,58.17,0,0,2022.97,1673,1632177,791
229248751,,,196.0,,,,,0,57.6,0,0,1111.83,793,193450,176
232450042,129.0,88.0,,116.0,64.0,109.0,119.0,0,50.1,0,0,1617.97,76,46510,29
232450045,135.0,92.0,,123.0,68.0,112.0,124.0,0,50.47,0,0,1604.8,69,31819,20
234220716,,,78.0,197.0,,194.0,194.0,0,73.9,0,0,760.57,1676,476309,638
235427315,72.0,49.0,34.0,62.0,40.0,61.0,66.0,0,59.9,0,0,1024.83,2913,2473114,2474
236838015,,,,192.0,,,,0,57.03,0,0,1647.83,131,10526,7
240683794,,,,180.0,,180.0,196.0,0,62.93,0,0,2182.1,3404,2541003,1230
240755433,,128.0,,97.0,136.0,91.0,,0,24.73,0,0,2832.37,74,154847,56
241401608,,,,196.0,122.0,,,0,50.07,0,0,1427.5,1404,1295219,920
241570116,11.0,10.0,16.0,8.0,10.0,10.0,9.0,0,21.33,0,0,2169.37,3341,2449115,1155
241812916,,,,179.0,,,,0,61.43,0,0,1477.03,40,15448,11
242594619,,,,,156.0,,,0,55.07,0,0,1221.37,297,227680,216
242983607,,,,,179.0,,,0,53.43,0,0,1324.47,70,47569,37
245808837,138.0,165.0,,118.0,69.0,116.0,127.0,0,56.97,0,0,1082.13,6025,5810552,5374
246981900,193.0,,,188.0,100.0,158.0,181.0,0,19.2,0,0,1425.63,1186,1620722,1140
248790360,181.0,116.0,,157.0,,149.0,167.0,0,89.23,0,0,1584.23,1370,836948,542
249460598,,,179.0,,,,,0,57.3,0,0,2346.87,337,802493,345
250075187,,143.0,,182.0,106.0,172.0,191.0,0,57.3,0,0,1885.43,650,872871,465
259587585,,,,187.0,104.0,,188.0,0,65.2,0,0,769.33,632,308544,401
262764494,,,,,,,,0,0.0,0,0,0.0,0,0,0
263008232,191.0,,,162.0,,,,0,47.83,0,0,773.65,131,0,0
263242413,,,100.0,,,,,0,46.87,0,0,1174.97,72,175890,153
268571497,,,176.0,,,,,0,58.03,0,0,1237.3,372,263762,215
269918998,197.0,,,168.0,,161.0,,0,57.37,0,0,1878.33,208,1261935,671
275191766,120.0,153.0,,117.0,200.0,107.0,109.0,0,24.83,0,0,1405.47,804,1620453,1157
277126053,,,159.0,,,,,0,56.83,0,0,951.67,3842,4736766,4990
293955290,194.0,133.0,,183.0,99.0,184.0,179.0,0,56.2,0,0,1369.93,1822,1158426,847
296027737,,154.0,,,,,,0,44.83,0,0,1349.1,442,750555,543
303309562,140.0,180.0,,126.0,,,131.0,0,27.61,0,0,3979.68,69,49879,14
316053487,,,116.0,,,,,0,61.2,0,0,823.07,367,357881,430
323103240,,,122.0,,,,,0,57.8,0,0,1181.93,993,1547060,1318
323180742,163.0,106.0,63.0,151.0,,,152.0,0,54.43,0,0,858.57,7541,17840113,21257
323186193,19.0,17.0,11.0,15.0,15.0,26.0,18.0,0,53.1,0,0,844.0,3194,6451228,7743
325740431,,,,,,188.0,,0,65.93,0,0,1006.36,2245,197077,219
327113828,,,127.0,,171.0,,,0,55.37,0,0,1166.67,723,1368385,1183
332559654,119.0,142.0,,93.0,,169.0,,0,53.5,0,0,3066.93,46,0,0
332646308,96.0,125.0,,94.0,129.0,84.0,89.0,0,54.13,0,0,1164.43,964,2043032,1789
332646311,,,134.0,,184.0,,,0,53.43,0,0,1017.47,347,1385864,1411
334633369,,,,,163.0,,,0,77.07,0,0,1050.47,575,40353,39
338104423,55.0,73.0,25.0,54.0,67.0,45.0,50.0,0,61.5,0,0,815.3,1811,571624,697
339025061,,,123.0,,,,,0,79.5,0,0,1545.4,2569,1195070,763
339025064,,,,,148.0,,,0,79.47,0,0,1555.57,3058,2625821,1682
339067534,,,200.0,,,,,0,75.0,0,0,1494.9,6190,1279856,861
340065851,200.0,,76.0,194.0,,,187.0,0,79.9,0,0,1499.57,2332,1720893,1141
340065853,,195.0,101.0,,,,,0,80.0,0,0,1496.13,2754,2062527,1364
341353809,183.0,117.0,72.0,171.0,91.0,,171.0,0,53.6,0,0,1072.0,1140,4294661,4095
342813357,186.0,,,167.0,,168.0,175.0,0,76.4,0,0,1428.6,92,62489,44
343133933,111.0,77.0,,107.0,134.0,105.0,102.0,0,76.4,0,0,1435.73,199,96954,68
345086710,145.0,177.0,,115.0,,,133.0,0,73.67,0,0,2814.47,961,290846,109
349684658,59.0,58.0,163.0,45.0,108.0,70.0,44.0,0,62.03,0,0,809.77,104,288629,355
364286490,5.0,5.0,6.0,,4.0,4.0,5.0,0,60.0,0,0,846.5,158,242707,287
365198598,,,119.0,,162.0,,,0,63.07,0,0,941.47,221,75976,88
365198600,,,105.0,,151.0,,,0,61.87,0,0,973.5,254,40339,44
371985297,,,,,187.0,,,0,26.4,0,0,2456.93,185,280360,114
373851108,,158.0,,,,189.0,,0,32.77,0,0,1302.73,159,656875,516
375974977,,,,,149.0,,,0,67.6,0,0,1132.5,1381,680992,603
386480357,182.0,,,166.0,,150.0,170.0,0,29.03,0,0,2886.37,159,381969,135
391933841,101.0,132.0,,100.0,,159.0,94.0,0,20.33,0,0,1929.63,88,85614,44
391933842,116.0,78.0,,113.0,147.0,98.0,106.0,0,20.47,0,0,1929.37,114,53887,28
391933844,108.0,138.0,47.0,105.0,139.0,93.0,99.0,0,20.7,0,0,1930.93,59,147389,77
391933845,112.0,140.0,,108.0,142.0,96.0,103.0,0,20.37,0,0,1929.37,130,25040,13
391933846,105.0,137.0,,103.0,138.0,90.0,98.0,0,20.37,0,0,1929.47,98,55797,29
391933848,97.0,74.0,,95.0,130.0,85.0,91.0,0,20.77,0,0,1931.83,53,141682,73
391933849,102.0,75.0,,101.0,133.0,87.0,95.0,0,20.37,0,0,1929.2,86,107868,57
391933850,93.0,118.0,,91.0,121.0,80.0,88.0,0,22.43,0,0,1886.73,112,26457,14
393921661,,,,,172.0,,,0,56.07,0,0,1239.6,741,1318000,1062
399135487,,183.0,,,128.0,,,0,79.47,0,0,1339.87,242,35575,27
401732659,187.0,,,176.0,,152.0,,0,15.03,0,0,1140.53,50,468147,419
402658022,,194.0,,,,,,0,53.07,0,0,1198.2,636,976891,811
403395399,,188.0,96.0,,,,,0,72.67,0,0,1480.63,510,621878,424
409960880,,,110.0,144.0,,,,0,25.17,0,0,2327.23,13,0,0
416092221,,,164.0,,,,,0,76.6,0,0,1546.37,280,524858,360
421883778,,,,,,197.0,,0,76.97,0,0,1395.73,1673,196715,159
421883779,,164.0,86.0,,119.0,193.0,,0,76.33,0,0,1433.1,1615,433055,354
439997992,95.0,193.0,,,,,189.0,0,21.0,0,0,1938.6,31,6054,3
439997993,146.0,,,,,,,0,21.1,0,0,1931.63,36,17736,9
439997994,143.0,,,,,,,0,19.0,0,0,1985.33,32,2094,1
439997995,113.0,181.0,,,,163.0,,0,19.43,0,0,1975.97,31,8216,4
439997996,,,,,,,116.0,0,19.53,0,0,1973.73,32,3014,2
439997997,,,,,,,117.0,0,18.93,0,0,1982.97,31,8258,4
439997999,152.0,,,111.0,,,,0,22.97,0,0,1889.07,31,3656,2
439998000,,,,,,,84.0,0,21.57,0,0,1918.4,37,10104,5
439998001,144.0,,,,,,,0,22.67,0,0,1894.8,33,4071,2
443788199,4.0,4.0,7.0,4.0,5.0,5.0,4.0,0,61.27,0,0,820.33,975,190680,237
445908126,,,85.0,191.0,,,,0,46.13,0,0,926.77,656,81298,89
448545325,126.0,,,,,196.0,,0,19.4,0,0,1984.43,59,0,0
448599953,178.0,,,,,,,0,19.38,0,0,1701.24,61,20744,14
448976428,,,,200.0,,192.0,,0,69.64,0,0,1038.0,275,38855,38
449097733,65.0,82.0,30.0,65.0,152.0,102.0,60.0,0,63.47,0,0,1303.59,963,210678,165
449216593,31.0,34.0,49.0,26.0,24.0,28.0,30.0,0,54.75,0,0,856.0,735,23625,22
449216594,20.0,27.0,32.0,16.0,16.0,18.0,19.0,0,54.75,0,0,856.0,740,19254,19
453406749,52.0,68.0,81.0,50.0,29.0,103.0,47.0,0,46.4,0,0,2258.2,56,34948,15
453959198,71.0,99.0,130.0,55.0,84.0,60.0,63.0,0,71.0,0,0,698.0,258,11677,17
456963001,114.0,126.0,,68.0,167.0,171.0,67.0,0,70.55,0,0,793.91,39258,0,0
460239965,151.0,189.0,,122.0,,,136.0,0,53.86,0,0,1938.14,97,0,0
460239966,167.0,,,,,,149.0,0,54.07,0,0,1930.64,101,2023,1
460290511,190.0,,,,95.0,166.0,172.0,0,61.64,0,0,1924.5,13000,7724,5
